Date,videoid,Views,Avg_duration,Earnings,vidviews,likes,dislikes,comments,startdate,daysactive
9/1/12,R7,2,6.52,0.03,1609,10,0,1,3/7/11,747
9/1/12,E111,2,0.33,0.02,1491,10,2,4,2/19/11,763
9/1/12,ANOVA,7,3.55,0,13723,58,1,18,9/22/09,1278
9/1/12,E17,6,2.89,0.01,8616,47,0,15,12/29/10,815
9/1/12,3,8,3.93,0,10818,110,0,18,9/12/09,1288
9/1/12,17,10,3.58,0.03,19284,194,1,23,11/17/09,1222
9/1/12,E13,2,8.14,0,2758,24,0,1,12/27/10,817
9/1/12,R4,4,4.78,0,4732,33,0,5,2/28/11,754
9/1/12,R10,4,7.7,0.13,4778,34,0,5,3/29/11,725
9/1/12,R1,5,4.23,0.06,6365,85,1,10,2/21/11,761
9/1/12,Reg2,4,2.97,0,19069,31,4,8,9/20/09,1280
9/1/12,33,6,2.35,0,13834,52,2,14,6/7/10,1020
9/1/12,38,9,3.72,0,9626,63,2,10,8/15/10,951
9/1/12,31,0,0,0,4615,52,1,3,3/28/10,1091
9/2/12,E111,3,5.11,0,1491,10,2,4,2/19/11,763
9/2/12,E14,12,1.47,0,11267,61,2,16,12/27/10,817
9/2/12,9,18,2.81,0.03,14758,144,1,24,10/6/09,1264
9/2/12,E11,9,5.35,0,4858,30,0,5,12/27/10,817
9/2/12,17a,18,2.8,0.02,43539,246,6,44,11/19/09,1220
9/2/12,E12,8,1.79,0.13,2600,17,0,1,12/27/10,817
9/2/12,14,4,4.32,0,5101,29,0,6,10/27/09,1243
9/2/12,WhatIs,26,1.09,0.22,40995,98,3,11,12/20/10,824
9/2/12,6c,16,2.21,0.02,10664,89,1,15,12/12/10,832
9/2/12,38,4,1.49,0,9626,63,2,10,8/15/10,951
9/2/12,1b,15,4.86,0.01,6164,60,0,4,2/19/11,763
9/2/12,R5,1,8.49,0,2893,21,0,5,3/1/11,753
9/2/12,6a,22,2.57,0.12,30852,163,3,28,9/27/09,1273
9/2/12,18,47,1.94,0.19,29105,129,5,27,1/7/10,1171
9/2/12,24b,11,2.2,0,8704,72,0,13,2/9/10,1138
9/2/12,R7,3,2.19,0.01,1609,10,0,1,3/7/11,747
9/2/12,R10,3,4.77,0,4778,34,0,5,3/29/11,725
9/2/12,UsefulTrick,1,0.43,0,2452,21,2,4,7/16/10,981
9/2/12,12,30,1.36,0.01,13243,44,3,20,10/21/09,1249
9/2/12,1,22,2.86,0.01,23785,228,1,28,8/31/09,1300
9/2/12,16,9,4.26,0,23359,277,4,38,11/9/09,1230
9/2/12,9b,32,1.61,0,38811,256,6,51,12/18/10,826
9/2/12,E19,2,0.69,0,3170,21,1,9,1/7/11,806
9/2/12,NegExt,4,1.72,0.08,1773,21,1,8,4/21/11,702
9/2/12,29,9,3.75,0,20514,223,0,38,3/26/10,1093
9/2/12,29b,3,2.27,0,6610,42,1,12,3/27/10,1092
9/2/12,22,1,3.59,0,9094,63,0,11,1/26/10,1152
9/2/12,29a,1,2.03,0,9318,37,0,6,3/27/10,1092
9/2/12,42,9,9.41,0.16,20617,278,1,26,8/30/10,936
9/2/12,9c,4,4.32,0,12330,181,3,17,12/29/10,815
9/2/12,ANOVA,11,2.07,0,13723,58,1,18,9/22/09,1278
9/2/12,30,1,0,0,8820,75,1,10,3/27/10,1092
9/2/12,40,27,3.26,0.01,17705,202,0,25,8/30/10,936
9/2/12,11,15,2.3,0.06,25380,151,2,45,10/13/09,1257
9/2/12,6,38,3.41,0.13,82659,353,5,54,9/27/09,1273
9/2/12,E17,12,2.28,0,8616,47,0,15,12/29/10,815
9/2/12,5,19,5.54,0.06,19875,180,0,25,9/25/09,1275
9/2/12,R2,7,9.95,0,4602,38,0,2,2/23/11,759
9/2/12,E15,29,4.63,0,21635,152,4,26,12/28/10,816
9/2/12,33,7,3.2,0,13834,52,2,14,6/7/10,1020
9/2/12,E110,5,5.02,0.03,6011,28,2,10,1/10/11,803
9/2/12,25,11,1.39,0,10851,48,1,13,2/13/10,1134
9/2/12,R12,5,0.44,0.01,3457,22,0,10,4/12/11,711
9/2/12,45,4,1.86,0,5703,35,1,6,11/16/10,858
9/2/12,E13,5,3.82,0,2758,24,0,1,12/27/10,817
9/2/12,13,6,2.47,0,12242,79,0,9,10/27/09,1243
9/2/12,10,48,2.4,0.09,67029,490,10,63,10/13/09,1257
9/2/12,36,2,4.38,0,5888,30,1,5,7/9/10,988
9/2/12,15a,5,3.93,0,5521,24,0,5,11/3/09,1236
9/2/12,E18,6,2.82,0,6502,31,1,10,12/31/10,813
9/2/12,R1,13,2.01,0.07,6365,85,1,10,2/21/11,761
9/2/12,26,17,2.43,0,24375,73,7,17,2/21/10,1126
9/2/12,28,0,0,0,10086,78,0,10,3/23/10,1096
